songid,bout_id,time,source,date,CNN_prediction,pulse_type,IPI,center_Freq,peak_Freq,E_peak_Freq,6dB_left_Freq,6dB_right_Freq,E_background,SNR,bandwidth,pulse_type_GMM_proba,totype
5888,387,5.999999999999999,BOMBYX,2017-03-01 16:42:07.960000000,0.9522558,A,15.808000000000002,20.81101351223223,20.6571333432316,0.007320073570486672,18.74783388938581,22.874193135078645,0.0006698467682767261,10.385399795343444,4.126359245692836,0.9998975031631872,AA
5888,387,21.808,BOMBYX,2017-03-01 16:42:23.768000000,0.97864735,A,33.728,20.533013872113557,20.600773097328894,0.007175294354950619,18.7103659355789,22.355661808648218,0.0008919989187557978,9.054753940638996,3.645295873069319,0.9959015711088147,AA
5888,387,55.536,BOMBYX,2017-03-01 16:42:57.496000000,0.81937164,A,,20.671597715592682,20.767305923215176,0.006151506771085944,18.438579385107843,22.904616046077518,0.0007960309115274567,8.880515737615069,4.466036660969674,0.9993017895654968,
5894,393,5.840000000000003,BOMBYX,2017-09-04 05:41:44.440000000,0.93016106,A,17.952,20.977383556620893,21.077745206569144,0.007102343142593612,18.309194206813334,23.645572906428452,0.0005354287009341242,11.227000037298433,5.336378699615118,0.9999913127667143,AB
5894,393,23.792,BOMBYX,2017-09-04 05:42:02.392000000,0.69177115,B,41.696000000000005,19.006931051784626,19.181287057106786,0.00776401536551481,17.10528428543873,20.908577818130517,0.0006921053638600417,10.499141711522007,3.803293532691786,0.9942877974030586,BA
5894,393,65.488,BOMBYX,2017-09-04 05:42:44.088000000,0.934397,A,,21.129695894529597,20.471299656748588,0.008444458678843136,18.912660658224908,23.346731130834286,0.0005722847347432447,11.68959653320032,4.434070472609378,0.9999992345016904,
5895,393,6.0,BOMBYX,2017-09-04 05:43:41.560000000,0.8059293,B,15.616000000000001,19.977127838147727,19.844360926847187,0.006807070876169914,18.47338392223551,21.480871754059944,0.0006765398589438005,10.02666884032073,3.0074878318244345,0.5673878915370025,BA
5895,393,21.616000000000014,BOMBYX,2017-09-04 05:43:57.176000000,0.874581,A,29.024,21.404100092664553,20.524005565579028,0.004313188316830219,18.63590195390129,24.172298231427817,0.000654035045324229,8.191974003037606,5.536396277526528,0.9999999936066228,AA
5895,393,50.639999999999986,BOMBYX,2017-09-04 05:44:26.200000000,0.8976353,A,,21.191952282618864,20.322010032810557,0.005973792755122999,18.436899390820553,23.94700517441717,0.0005669895413822304,10.22675103810218,5.510105783596618,0.9999997293050957,
5897,393,5.840000000000003,BOMBYX,2017-09-04 07:03:19.640000000,0.8565563,A,18.944000000000003,20.709458255982273,20.488288567156754,0.010152536237947806,18.313491704553385,23.10542480741116,0.0006778033914976779,11.754708107448351,4.791933102857776,0.9995796791137521,AB
5897,393,24.783999999999992,BOMBYX,2017-09-04 07:03:38.584000000,0.80422854,B,16.448,19.339234779313678,19.463691209669005,0.01158097537685401,17.75565721470252,20.922812343924832,0.0006214026952604036,12.703720056058557,3.167155129222312,0.9855946176300733,BA
5897,393,41.232,BOMBYX,2017-09-04 07:03:55.032000000,0.9945199,A,,20.84597545999535,20.333813979360983,0.014349310456492547,18.28485319591906,23.407097724071647,0.0006370016083869041,13.526905030300913,5.122244528152589,0.999937991765303,
5898,394,5.936,BOMBYX,2017-09-05 02:20:39.896000000,0.9384839,A,15.968000000000002,20.522048328653376,20.431576734509488,0.014863305549443514,18.593108477857722,22.450988179449034,0.0007985774634747339,12.69798355929562,3.8578797015913118,0.9953139303458435,AA
5898,394,21.904000000000003,BOMBYX,2017-09-05 02:20:55.864000000,0.99337053,A,34.24,20.285312119248474,20.137617558367552,0.014987334779835187,18.523281181441828,22.047343057055116,0.0007875814862458835,12.794289098934112,3.524061875613288,0.9344922746863529,AA
5898,394,56.144,BOMBYX,2017-09-05 02:21:30.104000000,0.77365613,A,,21.828821300052024,21.130915423798957,0.0061084343670484795,19.256961479867833,24.400681120236214,0.0007738797479747458,8.97256430347979,5.143719640368381,0.9999999999986242,
5899,395,5.840000000000003,BOMBYX,2017-09-06 05:22:41.240000000,0.8443601,A,42.112,22.01782247277962,21.58691030931876,0.005258118185592121,19.828995795321735,24.20664915023751,0.000818235759803924,8.079518876379026,4.3776533549157755,0.9999999999999787,AA
5899,395,47.952,BOMBYX,2017-09-06 05:23:23.352000000,0.74220955,A,33.504000000000005,21.097210274565633,21.365797738110825,0.004660318185261391,18.76742876105467,23.42699178807659,0.000850371446474081,7.388069002020501,4.659563027021921,0.9999986972818073,AA
5899,395,81.45600000000002,BOMBYX,2017-09-06 05:23:56.856000000,0.9168304,A,,21.331507250420742,21.618708054427934,0.004925352098222836,19.236022769770223,23.426991731071265,0.0006183192419898734,9.012245204360065,4.190968961301042,0.9999999761360705,
5901,396,5.872000000000014,BOMBYX,2017-09-06 12:23:20.312000000,0.8084497,B,16.096,19.44922643567476,19.64666474316874,0.004596921688321326,17.67602710230694,21.222425769042577,0.0007977270013069001,7.606128130979215,3.5463986667356373,0.9769466083026616,BA
5901,396,21.96799999999999,BOMBYX,2017-09-06 12:23:36.408000000,0.99069756,A,34.848,20.710741774334295,20.566702339496935,0.011899693176033373,18.704390698144774,22.717092850523812,0.0006064483089778719,12.927419742017218,4.012702152379038,0.9995869222613734,AA
5901,396,56.816,BOMBYX,2017-09-06 12:24:11.256000000,0.961177,A,34.01598,20.580363387766205,20.61016589147941,0.0113853162949335,18.653626460553028,22.507100314979382,0.0008917182932205259,11.061174241338673,3.8534738544263547,0.997725717356055,AA
5901,396,90.83198000000004,BOMBYX,2017-09-06 12:24:45.271980000,0.9743352,A,,20.77124935811422,20.861581565532358,0.011425508886388774,18.922315771682236,22.620182944546205,0.0007477489747636152,11.841197261854061,3.697867172863969,0.9998203491318907,
