calltype,start_time,end_time,pause,SNR
I11.4,1793,1794.3,13.09,17
I11.4,1807.39,1808.43,11.7,10
I11.4,1820.13,1821.13,17.22,20
I11.4,1838.35,1839.43,0.07,17
I69,1839.5,1840.75,4.37,14
I38.1,1845.12,1845.82,0.18,18
I39,1846,1846.62,0.51,28
I69,1847.13,1849.12,8.71,31
I11.5,1857.83,1859.59,2.41,14
I11.4,1862,1863.65,0.51,NA
I11.4,1864.16,1865.24,17.26,15
I11.4,1882.5,1883.5,164.61,NA
I11.4,30.11,32.5,4.19,11
I11.4,36.69,37.88,19.25,10
I11.5,57.13,58.57,6.01,12
I11.4,64.58,65.72,118.83,22
I11.4,184.55,185.5,15.33,22
I39,200.83,201.64,0.97,28
I11.4,202.61,204,11.24,27
I11.4,215.24,216.84,1.3,24
I11.4,218.14,219.9,2.31,26
I11.4,222.21,223.41,4.72,18
I39,228.13,229.11,28.75,22
I11.4,257.86,258.88,75.46,13
I37.1,334.34,335.5,0.31,36
I37.1,335.81,336.77,291.33,28
I39,628.1,629,0.31,18
I11.5,629.31,631,15.12,25
I39,646.12,646.91,3.92,18
I39,650.83,651.75,288.05,15
I11.4,939.8,941.24,18.07,16
I11.4,959.31,960.19,7.09,17
I11.4,967.28,968.22,9.99,15
I11.4,978.21,979.22,0.78,29
I69,980,981.11,18.39,19
I11.4,1000.61,1001.79,0.14,18
I38.1,1017.32,1018.14,0.44,14
I11.4,1018.58,1019.66,0.34,33
I69,1020,1021.36,21.64,15
I11.4,1043,1044.24,15.85,19
I11.4,1060.09,1061.14,0.36,13
I69,1061.5,1063,41.92,25
I11.4,1104.92,1105.92,0.58,15
I69,1106.5,1107.76,17.24,11
I11.4,1125,1126,0.95,22
I69,1126.95,1128.5,2.26,19
I38.1,1130.76,1131.4,0.16,18
I39,1131.56,1132.21,0.42,34
I69,1132.63,1133.72,2.64,26
I11.4,1136.36,1137.61,7.57,10
I38.1,1145.18,1145.65,0.4,36
I11.4,1146.05,1147.19,0.62,42
I38.1,1147.81,1148.28,0.28,30
I39,1148.56,1149.1,0.46,33
I69,1149.56,1150.89,19.71,34
I38.1,1170.6,1171.1,1.55,24
I11.4,1172.65,1173.76,0.44,22
I38.1,1174.2,1174.92,0.29,15
I11.4,1175.21,1176.34,5.92,31
I11.4,1182.26,1183.6,2.19,24
I11.4,1185.79,1187.66,6.84,15
I38.1,1194.5,1195.42,-0.14,20
I39,1195.28,1196.14,-0.53,22
I11.4,1195.61,1196.83,0,32
I69,1196.83,1198.73,7.43,22
I11.5,1206.16,1207.56,25.18,27
I11.4,1232.74,1233.87,31.89,24
I11.4,1265.76,1266.77,24.79,23
I38.1,1291.56,1292,0.31,25
I11.4,1292.31,1293.37,0.84,14
I11.4,1294.21,1295.24,5.1,20
I11.4,1300.34,1301.32,2.81,26
I11.4,1304.13,1305.12,17.23,21
I38.1,1322.35,1323,0.33,16
I11.4,1323.33,1324.39,4.01,27
I38.1,1328.4,1329.12,0.22,19
I11.4,1329.34,1330.5,0.31,38
I69,1330.81,1335,10.33,26
I38.1,1345.33,1345.83,0.34,32
I39,1346.17,1347.13,0.24,33
I69,1347.37,1349.16,0,43
I38.1,1349.16,1349.81,0.47,33
I11.4,1350.28,1351.45,28.25,39
I38.1,1379.7,1380.82,0.38,24
I11.4,1381.2,1382.38,4.43,22
I38.1,1386.81,1387.36,0.49,22
I11.4,1387.85,1389,59.17,25
I38.1,1448.17,1448.93,0.57,14
I11.4,1449.5,1450.6,0.3,36
I69,1450.9,1452.14,12.05,20
I69,1464.19,1465.91,1.4,20
I11.5,1467.31,1469.16,23.68,10
I38.1,1492.84,1493.81,0.34,31
I11.4,1494.15,1495.32,0.39,47
I69,1495.71,1498.22,2.02,36
I11.4,1500.24,1501.27,1.48,19
I38.1,1502.75,1503.24,0.17,16
I39,1503.41,1504,0.38,26
I69,1504.38,1506,2.5,26
I11.4,1508.5,1509.73,2.44,23
I11.4,1512.17,1513.22,27.28,20
I38.1,1540.5,1541.27,0.42,15
I11.4,1541.69,1542.88,0.32,26
I69,1543.2,1545.92,2.64,25
I11.4,1548.56,1549.64,27.46,26
I11.5,1577.1,1578.83,7.8,26
I39,1586.63,1587.16,0.41,21
I69,1587.57,1589.8,4.03,21
I11.4,1593.83,1595,0.37,28
I69,1595.37,1597.57,6.02,24
I11.4,1603.59,1604.61,20.05,27
I11.4,1624.66,1625.84,88.38,28
I38.1,1714.22,1714.58,1.1,23
I11.4,1715.68,1716.84,1.89,31
I38.1,1718.73,1719.38,0.5,34
I11.4,1719.88,1721.05,50.23,40
I11.4,1771.28,1772.27,17.23,18
I38.1,1789.5,1790,0.57,23
I11.4,1790.57,1791.67,0.55,34
I69,1792.22,1793.29,6.36,18
I11.4,1799.65,1800.88,15.62,22
I69,1816.5,1817.5,28.5,16
