GhSelection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
80	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1151.828	1151.828437157	1167.085086911	39.0	2058.9	15.257	2019.9	Bb19	
81	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1168.558	1168.558470532	1186.524245010	27.3	2016.0	17.966	1988.7	Ge112	
82	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1187.928	1187.927865446	1204.515313310	35.1	2062.8	16.587	2027.7	Ge114	
83	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1206.274	1206.273867955	1221.958274244	39.0	2023.8	15.684	1984.8	Ge114	
84	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1223.842	1223.841730915	1239.763779724	35.1	1992.6	15.922	1957.5	Ge114	
85	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1241.380	1241.379748857	1256.541341603	3.9	2000.4	15.162	1996.5	Ge113	
86	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1258.636	1258.636475389	1273.655482624	93.6	1965.3	15.019	1871.8	Ge113	
87	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1275.842	1275.841793804	1291.241029070	124.8	2000.4	15.399	1875.7	Ge111	
88	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1293.288	1293.288336047	1302.651451317	120.9	2019.9	9.363	1899.0	Gd12	
89	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1303.174	1303.174264860	1307.499358715	156.0	2008.2	4.325	1852.3	Gd11	
90	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1307.832	1307.832058243	1315.911903907	136.5	1996.5	8.080	1860.1	Gd12	
91	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1316.672	1316.672359969	1320.379583274	187.2	2016.0	3.707	1828.9	Gd11	
92	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1320.712	1320.712282802	1327.223687837	109.2	2008.2	6.511	1899.0	Gd12	
93	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1328.745	1328.744599962	1333.402393345	74.1	2031.6	4.658	1957.5	Gd11	
94	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1334.305	1334.305434919	1343.573493181	128.7	2047.2	9.268	1918.5	Gd13	
95	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1344.762	1344.761705779	1357.024059787	113.1	2019.9	12.262	1906.8	Gd14	
96	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1359.218	1359.218279959	1373.429302628	62.4	2031.6	14.211	1969.2	Gd14	
97	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1373.952	1373.952116171	1382.459718370	101.4	1992.6	8.508	1891.3	Gd12	
98	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1384.231	1384.231031507	1393.166390242	93.6	2023.8	8.935	1930.2	Gd12	
99	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1393.594	1393.594146777	1399.867909293	81.9	1973.1	6.274	1891.3	Gd12	
100	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1400.486	1400.485779844	1408.232925981	97.5	1945.8	7.747	1848.4	Gd12	
101	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1411.028	1411.028079244	1419.298038924	159.9	2000.4	8.270	1840.6	Gd12	
102	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1419.678	1419.678266955	1429.183967737	101.4	1875.7	9.506	1774.3	Gd13	
103	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1430.906	1430.906381403	1443.834134466	74.1	1969.2	12.928	1895.2	Gd12	
104	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1445.212	1445.212461079	1458.330328158	132.6	1945.8	13.118	1813.3	Gg3	
105	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1461.162	1461.162041999	1477.797018367	109.2	2008.2	16.635	1899.0	Bh13	
106	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1479.651	1479.650630019	1495.810321348	50.7	1996.5	16.160	1945.8	Bh13	
107	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1497.592	1497.592080420	1512.991315686	35.1	2051.1	15.399	2016.0	Bh13	
108	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1514.797	1514.797398834	1531.622489218	74.1	2012.1	16.825	1938.0	Bh14	
109	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1533.603	1533.603166563	1549.667800884	46.8	2039.4	16.065	1992.6	Bj131	
110	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1551.616	1551.616469544	1568.441559928	50.7	2019.9	16.825	1969.2	Bb18	
111	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1570.498	1570.497671337	1586.704891170	35.1	2000.4	16.207	1965.3	Bk110	
112	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1589.937	1589.936829435	1603.672567065	15.6	1988.7	13.736	1973.1	Bk19	
113	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1605.294	1605.294430414	1617.461727414	62.4	1949.7	12.167	1887.4	Ge15	
114	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1619.458	1619.457924578	1634.429403309	66.3	1910.7	14.971	1844.5	Ge16	
115	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1635.570	1635.570087403	1649.923695583	81.9	1930.2	14.354	1848.4	Ge16	
116	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1651.466	1651.466021568	1667.863355416	46.8	1856.2	16.397	1809.4	Ge19	
117	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1670.317	1670.317004894	1685.098369609	54.6	1910.7	14.781	1856.2	Ge19	
118	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1686.809	1686.809395750	1702.161102512	105.3	2004.3	15.352	1899.0	Ge113	
119	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1704.804	1704.803718724	1718.777098873	117.0	2019.9	13.973	1902.9	Ge110	
120	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1721.344	1721.343638084	1728.710556189	206.7	1969.2	7.367	1762.6	Ge12	
121	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1730.374	1730.374053826	1738.026142955	46.8	1984.8	7.652	1938.0	Gd12	
122	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1738.807	1738.807490537	1744.368325495	117.0	1969.2	5.561	1852.3	Gd13	
123	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1744.558	1744.558439510	1751.497601081	175.5	1930.2	6.939	1754.8	Gd13	
124	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1751.878	1751.877829112	1757.010907534	117.0	1969.2	5.133	1852.3	Gd12	
125	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1757.391	1757.391135565	1761.906343437	187.2	1879.6	4.515	1692.4	Gd12	
126	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1764.235	1764.235240128	1773.218127367	54.6	1961.4	8.983	1906.8	Gd13	
127	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1773.741	1773.740940910	1782.486185629	113.1	1914.6	8.745	1801.6	Gd13	
128	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1784.631	1784.630787900	1791.569949471	117.0	1961.4	6.939	1844.5	Gd12	
129	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1791.950	1791.950177502	1803.879831983	39.0	1899.0	11.930	1860.1	Gd14	
130	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1805.686	1805.685915132	1822.130777484	113.1	1934.1	16.445	1821.1	Gd15	
131	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1823.557	1823.556632601	1839.716323930	89.7	1996.5	16.160	1906.8	Gd15	
132	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1840.992	1840.992430429	1853.967711996	89.7	1988.7	12.975	1899.0	Gd14	
133	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1856.392	1856.391665695	1864.899267895	109.2	1977.0	8.508	1867.9	Gg2	
134	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1867.142	1867.141538736	1884.109214632	62.4	1969.2	16.968	1906.8	Bh13	
135	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1886.740	1886.740070217	1902.044248476	19.5	2012.1	15.304	1992.6	Bh13	
136	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1904.658	1904.658316190	1921.008121535	39.0	1996.5	16.350	1957.5	Bj131	
137	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1923.434	1923.433716561	1939.450822378	54.6	2023.8	16.017	1969.2	Bj131	
138	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1941.732	1941.732190565	1957.796824886	66.3	2027.7	16.065	1961.4	Bj131	
139	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1959.382	1959.382277246	1976.492538653	31.2	2074.5	17.110	2043.3	Bj131	
140	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1978.083	1978.083185493	1993.720063279	27.3	2055.0	15.637	2027.7	Bj131	
141	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	1995.794	1995.793559520	2013.379105965	50.7	2008.2	17.586	1957.5	Bj131	
142	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2014.948	2014.947546594	2032.105336505	15.6	2035.5	17.158	2019.9	Bj122	
143	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2033.900	2033.900078279	2050.867754174	42.9	1949.7	16.968	1906.8	Bc13	
144	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2051.961	2051.960909764	2069.213756682	23.4	1930.2	17.253	1906.8	Bc14	
145	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2072.033	2072.032636887	2088.429970735	50.7	1953.6	16.397	1902.9	Bc14	
146	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2090.990	2090.989645495	2106.674051785	19.5	1977.0	15.684	1957.5	Bc14	
147	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2109.431	2109.430705011	2124.164541223	46.8	1984.8	14.734	1938.0	Bb18	
148	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2125.478	2125.477581226	2140.924344996	62.4	1965.3	15.447	1902.9	Ge17	
149	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2141.901	2141.900581823	2157.252288586	140.4	1938.0	15.352	1797.7	Ge16	
150	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2159.961	2159.961413308	2175.360648575	132.6	1918.5	15.399	1786.0	Ge115	
151	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2178.711	2178.711146930	2193.017226606	113.1	1973.1	14.306	1860.1	Ge114	
152	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2196.718	2196.717659905	2212.069366667	120.9	1965.3	15.352	1844.5	Ge114	
153	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2214.037	2214.037135931	2230.054241748	58.5	2019.9	16.017	1961.4	Ge114	
154	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2232.969	2232.969121251	2247.275200927	35.1	2027.7	14.306	1992.6	Ge112	
155	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2249.842	2249.841740138	2264.860747373	156.0	2000.4	15.019	1844.5	Ge113	
156	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2267.174	2267.173975180	2281.337469345	54.6	1957.5	14.163	1902.9	Ge111	
157	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2283.286	2283.286138005	2292.459139259	183.3	1879.6	9.173	1696.3	Gd12	
158	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2292.934	2292.934424298	2298.115031224	39.0	1914.6	5.181	1875.7	Gd12	
159	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2298.543	2298.542787759	2306.194876888	198.9	1825.0	7.652	1626.1	Gd13	
160	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2307.854	2307.853599121	2313.081734551	117.0	1895.2	5.228	1778.2	Gd12	
161	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2313.319	2313.319377071	2320.828880688	128.7	1774.3	7.510	1645.6	Gd12	
162	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2321.970	2321.969564782	2329.621653911	167.7	1891.3	7.652	1723.6	Gd12	
163	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2331.000	2330.999980524	2340.125453275	206.7	1848.4	9.125	1641.7	Gd12	
164	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2341.786	2341.786413969	2352.005042309	74.1	1899.0	10.219	1825.0	Gd12	
165	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2353.716	2353.716068450	2361.890971122	124.8	1906.8	8.175	1782.1	Gd12	
