Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
175	Spectrogram 1	1	630.838687131	632.286796443	0.0	5564.1	5564.1	914.1	1.448	O
176	Spectrogram 1	1	632.769499548	633.734905756	0.0	4381.7	4381.7	1031.2	0.965	O
177	Spectrogram 1	1	634.096933084	636.691462268	0.0	4799.1	4799.1	960.9	2.595	R
178	Spectrogram 1	1	636.993151708	638.079233692	0.0	4520.8	4520.8	890.6	1.086	K
179	Spectrogram 1	1	640.975452316	642.061534300	0.0	4659.9	4659.9	1218.8	1.086	O
180	Spectrogram 1	1	643.026940509	643.630319389	0.0	4659.9	4659.9	445.3	0.603	O
181	Spectrogram 1	1	644.656063485	646.099416667	0.0	4590.4	4590.4	937.5	1.443	R
182	Spectrogram 1	1	646.403779952	647.610537712	0.0	4683.9	4683.9	890.6	1.207	K
183	Spectrogram 1	1	650.506756336	651.773851984	0.0	5091.2	5091.2	1289.1	1.267	O
184	Spectrogram 1	1	652.196217200	653.463312848	0.0	4887.5	4887.5	937.5	1.267	O
185	Spectrogram 1	1	654.609732721	655.635476817	0.0	4616.0	4616.0	1898.4	1.026	R
186	Spectrogram 1	1	656.118179921	656.842234577	0.0	4887.5	4887.5	796.9	0.724	K
187	Spectrogram 1	1	660.640766656	661.666510752	0.0	5226.9	5226.9	1734.4	1.026	O
188	Spectrogram 1	1	663.959350496	665.189058369	0.0	5430.6	5430.6	398.4	1.230	R
189	Spectrogram 1	1	665.370072033	666.395816129	0.0	5226.9	5226.9	820.3	1.026	K
190	Spectrogram 1	1	669.955751521	670.921157729	0.0	5023.3	5023.3	1968.8	0.965	O
191	Spectrogram 1	1	672.610618593	674.420755233	0.0	5294.8	5294.8	1851.6	1.810	R
192	Spectrogram 1	1	674.601768897	675.627512994	0.0	5091.2	5091.2	796.9	1.026	K
193	Spectrogram 1	1	679.066772610	680.213192482	0.0	5226.9	5226.9	1875.0	1.146	O
194	Spectrogram 1	1	681.238936578	683.620758541	0.0	4751.8	4751.8	562.5	2.382	R
195	Spectrogram 1	1	683.833465762	685.100561411	0.0	4751.8	4751.8	1687.5	1.267	K
196	Spectrogram 1	1	687.876104259	689.143199907	0.0	5498.5	5498.5	1382.8	1.267	O
197	Spectrogram 1	1	691.013674435	692.703135299	0.0	4751.8	4751.8	937.5	1.689	R
198	Spectrogram 1	1	693.246176291	694.452934052	0.0	4819.6	4819.6	1687.5	1.207	K
199	Spectrogram 1	1	697.047463236	698.978275652	0.0	5091.2	5091.2	1804.7	1.931	O
200	Spectrogram 1	1	699.581654532	701.995170052	0.0	4616.0	4616.0	1828.1	2.414	R
