Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
140	Spectrogram 1	1	221.375441539	222.737048658	419.0	2444.3	1.362	2025.3	1406.2	Z
141	Spectrogram 1	1	223.290358679	223.468930104	35.1	1472.7	0.179	1437.6	328.1	19
142	Spectrogram 1	1	223.498692009	224.138572950	0.0	1507.7	0.640	1507.7	328.1	17
143	Spectrogram 1	1	225.582025306	225.790358636	35.1	1507.7	0.208	1472.7	281.2	19
144	Spectrogram 1	1	225.835001492	226.549287194	0.0	1542.8	0.714	1542.8	328.1	17
145	Spectrogram 1	1	228.342588992	229.793481824	384.1	2479.2	1.451	2095.1	1359.4	Z
146	Spectrogram 1	1	230.135596655	230.329049033	0.0	1472.7	0.193	1472.7	0.0	19
147	Spectrogram 1	1	230.358810937	231.073096639	0.0	1542.8	0.714	1542.8	328.1	17
148	Spectrogram 1	1	231.872964790	232.066417168	0.0	1396.8	0.193	1396.8	234.4	19
149	Spectrogram 1	1	232.096179072	232.765821918	0.0	1501.5	0.670	1501.5	328.1	17
150	Spectrogram 1	1	233.380397386	234.555992604	384.1	2479.2	1.176	2095.1	1359.4	Z
151	Spectrogram 1	1	234.834274263	234.959592604	0.0	1431.7	0.125	1431.7	0.0	19
152	Spectrogram 1	1	234.989354508	235.532509260	34.9	1501.5	0.543	1466.6	328.1	17
153	Spectrogram 1	1	236.112866393	236.231914010	69.8	1466.6	0.119	1396.8	234.4	19
154	Spectrogram 1	1	236.313759247	236.842033047	34.9	1466.6	0.528	1431.7	281.2	17
155	Spectrogram 1	1	238.298680887	239.950466572	349.2	2444.3	1.652	2095.1	1500.0	Z
156	Spectrogram 1	1	240.249771083	240.413461556	69.8	1501.5	0.164	1431.7	281.2	19
157	Spectrogram 1	1	240.450663937	241.060782974	0.0	1501.5	0.610	1501.5	328.1	17
158	Spectrogram 1	1	244.822458070	244.963827115	69.8	1501.5	0.141	1431.7	93.8	19
159	Spectrogram 1	1	245.001029495	245.573946152	0.0	1466.6	0.573	1466.6	281.2	17
160	Spectrogram 1	1	246.956336216	248.898300468	453.9	2479.2	1.942	2025.3	1546.9	Z
161	Spectrogram 1	1	249.298437029	249.454687026	69.8	1501.5	0.156	1431.7	281.2	19
162	Spectrogram 1	1	249.506770359	250.049925111	34.9	1431.7	0.543	1396.8	281.2	17
163	Spectrogram 1	1	250.756809692	251.128833495	488.9	2898.3	0.372	2409.4	1453.1	X
164	Spectrogram 1	1	251.462340755	251.938531223	471.4	2828.4	0.476	2357.0	2156.2	X
165	Spectrogram 1	1	252.059036872	252.520346388	349.2	3142.7	0.461	2793.5	375.0	X
166	Spectrogram 1	1	252.663237616	253.052567236	174.6	2758.6	0.389	2584.0	2015.6	X
167	Spectrogram 1	1	253.226187202	253.647084088	244.4	2688.8	0.421	2444.3	1968.8	X
