Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
118	Spectrogram 1	1	Guigo1_0117.wav	1282.384	1282.384492558	1284.906913907	48.9	3916.9	2.522	3868.1	Ee11	
119	Spectrogram 1	1	Guigo1_0117.wav	1285.243	1285.243236754	1288.326196181	105.9	4006.5	3.083	3900.6	Ee11	
120	Spectrogram 1	1	Guigo1_0117.wav	1297.016	1297.016401282	1300.043306901	24.4	4104.2	3.027	4079.8	Ee11	
121	Spectrogram 1	1	Guigo1_0117.wav	1300.660	1300.659898787	1303.070212521	40.7	3982.1	2.410	3941.3	Ee11	
122	Spectrogram 1	1	Guigo1_0117.wav	1305.537	1305.536580062	1309.404292798	81.4	4047.2	3.868	3965.8	Ee11	
123	Spectrogram 1	1	Guigo1_0117.wav	1311.815	1311.814606532	1315.794426884	48.9	4055.3	3.980	4006.5	Ee11	
124	Spectrogram 1	1	Guigo1_0117.wav	1316.019	1316.018642115	1319.942408658	0.0	3973.9	3.924	3973.9	Ee11	
125	Spectrogram 1	1	Guigo1_0117.wav	1320.783	1320.783215775	1324.819089934	0.0	3990.2	4.036	3990.2	Ee11	
126	Spectrogram 1	1	Guigo1_0117.wav	1325.211	1325.211466589	1328.630748862	8.1	4030.9	3.419	4022.8	Ee11	
127	Spectrogram 1	1	Guigo1_0117.wav	1330.822	1330.821613500	1334.296949582	0.0	4104.2	3.475	4104.2	Ee11	
128	Spectrogram 1	1	Guigo1_0117.wav	1337.156	1337.155693778	1340.799191283	0.0	4071.6	3.643	4071.6	Ee11	
129	Spectrogram 1	1	Guigo1_0117.wav	1341.304	1341.303675553	1344.106365941	105.9	4014.6	2.803	3908.8	Ee11	
130	Spectrogram 1	1	Guigo1_0117.wav	1345.055	1345.055136007	1385.133608560	40.7	4039.1	40.078	3998.3	Ia7	
131	Spectrogram 1	1	Guigo1_0117.wav	1385.551	1385.550851848	1391.212286432	40.7	3949.5	5.661	3908.8	Be11	
132	Spectrogram 1	1	Guigo1_0117.wav	1393.006	1393.006008281	1400.068788059	40.7	3965.8	7.063	3925.1	Be11	
133	Spectrogram 1	1	Guigo1_0117.wav	1402.949	1402.949394107	1410.628765771	65.1	4022.8	7.679	3957.6	Be11	
134	Spectrogram 1	1	Guigo1_0117.wav	1411.750	1411.749841926	1417.915760780	32.6	4022.8	6.166	3990.2	Be11	
135	Spectrogram 1	1	Guigo1_0117.wav	1419.093	1419.092890743	1426.267778138	24.4	4055.3	7.175	4030.9	Bf111	
136	Spectrogram 1	1	Guigo1_0117.wav	1427.053	1427.052531446	1433.947149802	97.7	4087.9	6.895	3990.2	Bf111	
137	Spectrogram 1	1	Guigo1_0117.wav	1435.045	1435.044601450	1441.322627919	24.4	4047.2	6.278	4022.8	Bf111	
138	Spectrogram 1	1	Guigo1_0117.wav	1442.668	1442.667919306	1448.721730545	8.1	3982.1	6.054	3973.9	Df11	
139	Spectrogram 1	1	Guigo1_0117.wav	1449.843	1449.842806700	1457.410070748	65.1	4055.3	7.567	3990.2	Df11	
140	Spectrogram 1	1	Guigo1_0117.wav	1458.139	1458.138770249	1464.304689104	32.6	4096.1	6.166	4063.5	Df11	
141	Spectrogram 1	1	Guigo1_0117.wav	1465.215	1465.215330333	1472.782594381	0.0	4079.8	7.567	4079.8	Df11	
142	Spectrogram 1	1	Guigo1_0117.wav	1473.455	1473.455240075	1479.340889890	40.7	4030.9	5.886	3990.2	Df11	
