Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	UNIT
152	Spectrogram 1	1	553.984816016	556.139556680	0.0	5346.9	5346.9	2.155	328.1	5
153	Spectrogram 1	1	556.447376775	557.414811359	0.0	5463.1	5463.1	0.967	820.3	K
154	Spectrogram 1	1	560.624935205	562.120061379	55.7	4998.2	4942.5	1.495	351.6	O
155	Spectrogram 1	1	563.791084751	565.418133824	0.0	4649.5	4649.5	1.627	421.9	5
156	Spectrogram 1	1	565.945825415	566.913259999	0.0	4765.7	4765.7	0.967	726.6	K
157	Spectrogram 1	1	569.859538049	571.266715625	0.0	6160.5	6160.5	1.407	375.0	O
158	Spectrogram 1	1	572.700598789	574.459570760	0.0	5346.9	5346.9	1.759	351.6	5
159	Spectrogram 1	1	574.899313752	575.998671234	0.0	4998.2	4998.2	1.099	796.9	K
160	Spectrogram 1	1	579.296743678	580.889277850	0.0	5928.1	5928.1	1.593	421.9	O
161	Spectrogram 1	1	581.979175933	583.958019400	0.0	6044.3	6044.3	1.979	445.3	5
162	Spectrogram 1	1	584.397762392	585.848914268	0.0	5346.9	5346.9	1.451	796.9	K
163	Spectrogram 1	1	588.927115216	590.642112887	0.0	5463.1	5463.1	1.715	187.5	O
164	Spectrogram 1	1	591.213778777	594.643774119	0.0	5695.6	5695.6	3.430	468.8	5
165	Spectrogram 1	1	595.083517112	596.094925995	0.0	5463.1	5463.1	1.011	820.3	K
166	Spectrogram 1	1	598.425563856	600.448381622	0.0	4881.9	4881.9	2.023	398.4	O
167	Spectrogram 1	1	600.580304519	603.702479767	0.0	4881.9	4881.9	3.122	375.0	5
168	Spectrogram 1	1	604.054274161	605.461451737	0.0	5811.8	5811.8	1.407	820.3	K
169	Spectrogram 1	1	607.396320905	610.166701758	0.0	4765.7	4765.7	2.770	375.0	O
170	Spectrogram 1	1	612.013622327	613.596697100	0.0	5346.9	5346.9	1.583	398.4	5
171	Spectrogram 1	1	613.948491494	615.311694771	0.0	4533.2	4533.2	1.363	843.8	K
172	Spectrogram 1	1	617.070666741	619.533227500	0.0	4533.2	4533.2	2.463	398.4	S
173	Spectrogram 1	1	620.690082032	622.756874097	0.0	5346.9	5346.9	2.067	468.8	5
174	Spectrogram 1	1	623.196617089	624.120077374	0.0	4765.7	4765.7	0.923	796.9	K
175	Spectrogram 1	1	626.450715235	628.253661504	0.0	4765.7	4765.7	1.803	164.1	S
176	Spectrogram 1	1	629.089173190	632.079425540	0.0	4765.7	4765.7	2.990	398.4	5
177	Spectrogram 1	1	632.519168532	633.662500313	0.0	4765.7	4765.7	1.143	796.9	K
178	Spectrogram 1	1	636.002454530	638.631596129	0.0	4649.5	4649.5	2.629	375.0	S
179	Spectrogram 1	1	639.291210618	641.665822778	0.0	4765.7	4765.7	2.375	328.1	5
180	Spectrogram 1	1	642.281462968	643.336846150	0.0	4765.7	4765.7	1.055	820.3	K
181	Spectrogram 1	1	645.975304106	648.481839163	0.0	4765.7	4765.7	2.507	351.6	O
182	Spectrogram 1	1	649.845042440	651.691963009	0.0	4649.5	4649.5	1.847	398.4	5
183	Spectrogram 1	1	651.955808805	652.923243388	0.0	4649.5	4649.5	0.967	820.3	K
184	Spectrogram 1	1	656.353238731	658.156185000	0.0	5114.4	5114.4	1.803	187.5	O
185	Spectrogram 1	1	659.915156971	661.630154642	0.0	4649.5	4649.5	1.715	398.4	5
186	Spectrogram 1	1	661.937974736	662.949383619	0.0	4765.7	4765.7	1.011	867.2	K
187	Spectrogram 1	1	665.895661670	668.138350932	0.0	4649.5	4649.5	2.243	328.1	O
188	Spectrogram 1	1	669.633477107	671.392449077	0.0	4765.7	4765.7	1.759	351.6	5
189	Spectrogram 1	1	671.832192070	673.107446748	0.0	4998.2	4998.2	1.275	796.9	K
190	Spectrogram 1	1	676.273596295	678.120516864	0.0	4533.2	4533.2	1.847	164.1	O
191	Spectrogram 1	1	679.483720141	681.990255199	0.0	4881.9	4881.9	2.507	421.9	5
192	Spectrogram 1	1	682.561921089	683.617304271	0.0	4649.5	4649.5	1.055	820.3	K
193	Spectrogram 1	1	685.640122037	687.179222511	0.0	4998.2	4998.2	1.539	257.8	A1
194	Spectrogram 1	1	687.794862701	689.685757569	0.0	5463.1	5463.1	1.891	257.8	A1
195	Spectrogram 1	1	690.829089350	692.719984218	0.0	5463.1	5463.1	1.891	562.5	B
196	Spectrogram 1	1	695.974082363	701.207023975	0.0	4881.9	4881.9	5.233	281.2	A1
197	Spectrogram 1	1	702.350355755	704.549070718	0.0	5114.4	5114.4	2.199	585.9	B
198	Spectrogram 1	1	706.483939886	710.969318410	0.0	5230.7	5230.7	4.485	234.4	A1
199	Spectrogram 1	1	712.244573089	713.827647862	0.0	4649.5	4649.5	1.583	726.6	B
200	Spectrogram 1	1	716.422131518	721.830970327	0.0	4998.2	4998.2	5.409	210.9	A1
201	Spectrogram 1	1	722.578533414	724.073659589	0.0	4649.5	4649.5	1.495	773.4	B
202	Spectrogram 1	1	726.756091844	732.208904952	0.0	4881.9	4881.9	5.453	187.5	A1
203	Spectrogram 1	1	732.912493740	734.803388608	0.0	4881.9	4881.9	1.891	632.8	B
204	Spectrogram 1	1	737.265949367	742.938633971	0.0	4649.5	4649.5	5.673	210.9	A1
205	Spectrogram 1	1	743.554274161	745.577091927	0.0	4998.2	4998.2	2.023	726.6	B
206	Spectrogram 1	1	748.743241473	753.932208786	0.0	5114.4	5114.4	5.189	187.5	A1
207	Spectrogram 1	1	755.075540567	757.230281230	0.0	5695.6	5695.6	2.155	703.1	B
208	Spectrogram 1	1	759.520097570	764.093424693	0.0	5928.1	5928.1	4.573	187.5	A1
209	Spectrogram 1	1	765.060859277	766.643934050	0.0	5579.4	5579.4	1.583	609.4	B
210	Spectrogram 1	1	768.930597612	773.723796231	0.0	5230.7	5230.7	4.793	187.5	A1
211	Spectrogram 1	1	774.295462121	776.308854167	0.0	6044.3	6044.3	2.013	609.4	B
