Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
167	Spectrogram 1	1	254.103726800	254.650892752	162.8	1465.1	0.547	1302.3	562.5	17
168	Spectrogram 1	1	256.323957875	256.692242650	186.0	1976.7	0.368	1790.7	1218.8	X
169	Spectrogram 1	1	257.228886180	257.523514001	209.3	1953.5	0.295	1744.2	281.2	X
170	Spectrogram 1	1	257.963013290	258.228516285	186.0	1907.0	0.266	1721.0	1171.9	X
171	Spectrogram 1	1	258.627147106	258.911252505	209.3	2046.5	0.284	1837.2	1359.4	X
172	Spectrogram 1	1	259.390022713	259.653083267	232.6	1976.7	0.263	1744.1	1078.1	X
173	Spectrogram 1	1	259.995061987	260.252861329	162.8	1930.2	0.258	1767.4	1312.5	X
174	Spectrogram 1	1	260.696924356	260.959984910	232.6	1976.7	0.263	1744.1	1171.9	X
175	Spectrogram 1	1	261.333530897	261.607113873	209.3	1976.7	0.274	1767.4	1171.9	X
176	Spectrogram 1	1	261.922786537	262.154279825	186.0	1907.0	0.231	1721.0	1171.9	X
177	Spectrogram 1	1	262.538348234	262.790886365	162.8	1976.7	0.253	1813.9	1406.2	X
178	Spectrogram 1	1	263.174954774	263.427492906	325.6	2046.5	0.253	1720.9	1171.9	X
179	Spectrogram 1	1	263.864206682	264.158834502	209.3	1953.5	0.295	1744.2	1359.4	X
180	Spectrogram 1	1	264.495552011	264.821747098	186.0	1976.7	0.326	1790.7	1312.5	X
181	Spectrogram 1	1	268.334495962	270.291666484	488.4	1976.7	1.957	1488.3	843.8	Z
182	Spectrogram 1	1	272.966191823	273.576492308	186.0	1767.4	0.610	1581.4	609.4	17
183	Spectrogram 1	1	274.978580474	275.283730716	372.1	1976.7	0.305	1604.6	1125.0	X
184	Spectrogram 1	1	275.757239714	276.020300267	232.6	1930.2	0.263	1697.6	1218.8	X
185	Spectrogram 1	1	276.509592898	276.756869818	69.8	1930.2	0.247	1860.4	1218.8	X
186	Spectrogram 1	1	277.140938227	277.382953937	162.8	2000.0	0.242	1837.2	1218.8	X
187	Spectrogram 1	1	277.745977501	278.003776844	232.6	2023.3	0.258	1790.7	1218.8	X
188	Spectrogram 1	1	278.403628886	278.656167018	23.3	1976.7	0.253	1953.4	1125.0	X
189	Spectrogram 1	1	279.040235426	279.324340825	232.6	1976.7	0.284	1744.1	1171.9	X
190	Spectrogram 1	1	279.666319545	279.929380099	209.3	1953.5	0.263	1744.2	1171.9	X
191	Spectrogram 1	1	280.232379801	280.542791255	395.3	2116.3	0.310	1721.0	1171.9	X
192	Spectrogram 1	1	280.884769975	281.174136584	418.6	2139.5	0.289	1720.9	1171.9	X
193	Spectrogram 1	1	281.568727415	281.831787969	372.1	2093.0	0.263	1720.9	1265.6	X
194	Spectrogram 1	1	282.215856378	282.489439354	348.8	2046.5	0.274	1697.7	1312.5	X
195	Spectrogram 1	1	285.530072129	287.855527426	279.1	2069.8	2.325	1790.7	843.8	Z
196	Spectrogram 1	1	290.265162100	290.928074695	279.1	1720.9	0.663	1441.8	609.4	17
197	Spectrogram 1	1	292.460390129	292.786585216	209.3	1930.2	0.326	1720.9	1125.0	X
198	Spectrogram 1	1	293.218004524	293.544199611	162.8	1907.0	0.326	1744.2	1312.5	X
199	Spectrogram 1	1	293.880917120	294.196589785	255.8	1930.2	0.316	1674.4	1171.9	X
200	Spectrogram 1	1	294.512262449	294.827935114	186.0	1837.2	0.316	1651.2	1218.8	X
201	Spectrogram 1	1	295.109561021	295.435756108	186.0	1953.5	0.326	1767.5	1171.9	X
202	Spectrogram 1	1	295.761951195	296.067101438	186.0	1976.7	0.305	1790.7	1171.9	X
203	Spectrogram 1	1	296.393296524	296.708969189	209.3	1930.2	0.316	1720.9	1125.0	X
204	Spectrogram 1	1	296.982552165	297.287702408	255.8	1953.5	0.305	1697.7	1265.6	X
205	Spectrogram 1	1	297.602617441	297.907767683	209.3	1953.5	0.305	1744.2	1125.0	X
206	Spectrogram 1	1	298.318142147	298.612769968	162.8	1953.5	0.295	1790.7	1125.0	X
