Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	UNIT
185	Spectrogram 1	1	371.074297688	371.190044331	142.4	1480.7	0.116	1338.3	19
186	Spectrogram 1	1	371.200566754	371.747732706	113.9	1509.1	0.547	1395.2	17
187	Spectrogram 1	1	373.535825302	374.945829871	569.5	2534.2	1.410	1964.7	Z
188	Spectrogram 1	1	375.362183970	376.046141410	156.6	1494.9	0.684	1338.3	Y
189	Spectrogram 1	1	377.208869058	378.029617986	113.9	1509.1	0.821	1395.2	Y
190	Spectrogram 1	1	380.038681247	381.816970591	455.6	2505.7	1.778	2050.1	Z
191	Spectrogram 1	1	382.493416524	382.640730434	142.4	1537.6	0.147	1395.2	19
192	Spectrogram 1	1	382.672297700	383.198418808	142.4	1480.7	0.526	1338.3	17
193	Spectrogram 1	1	386.825642763	388.372438820	541.0	2505.7	1.547	1964.7	Z
194	Spectrogram 1	1	388.862087948	389.503955699	142.4	1452.2	0.642	1309.8	Y
195	Spectrogram 1	1	390.366794316	391.008662068	113.9	1509.1	0.642	1395.2	Y
196	Spectrogram 1	1	392.034241213	393.696783914	455.6	2534.2	1.663	2078.6	Z
197	Spectrogram 1	1	394.039119649	394.754644355	113.9	1509.1	0.716	1395.2	Y
198	Spectrogram 1	1	397.511518960	397.679877715	113.9	1480.7	0.168	1366.8	19
199	Spectrogram 1	1	397.732489826	398.279655778	142.4	1509.1	0.547	1366.7	17
200	Spectrogram 1	1	400.252251941	402.219944884	370.2	2534.2	1.968	2164.0	Z
201	Spectrogram 1	1	403.177757566	403.335593899	142.4	1480.7	0.158	1338.3	19
202	Spectrogram 1	1	403.356638743	403.977461650	113.9	1480.7	0.621	1366.8	17
203	Spectrogram 1	1	405.492690441	405.650526773	56.9	1480.7	0.158	1423.8	19
204	Spectrogram 1	1	405.682094040	406.134558192	142.4	1480.7	0.452	1338.3	17
205	Spectrogram 1	1	407.523244617	409.564594516	484.1	2505.7	2.041	2021.6	Z
206	Spectrogram 1	1	410.585542765	410.743379097	142.4	1480.7	0.158	1338.3	19
207	Spectrogram 1	1	410.764423941	411.185320827	142.4	1509.1	0.421	1366.7	17
208	Spectrogram 1	1	413.195101594	413.363460349	113.9	1452.2	0.168	1338.3	19
209	Spectrogram 1	1	413.384505193	413.973760834	85.4	1452.2	0.589	1366.8	17
210	Spectrogram 1	1	416.130584764	417.772082621	512.5	2477.2	1.641	1964.7	Z
211	Spectrogram 1	1	418.856164715	419.024523469	85.4	1452.2	0.168	1366.8	19
