Selection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
113	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2180.2995	2180.299470021	2191.658782455	60.700	2851.100	11.3593	2790.400	Bc12	
114	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2193.6075	2193.607451115	2205.061820557	33.100	2884.200	11.4544	2851.100	Bc12	
115	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2207.5499	2207.549941216	2219.717238217	49.600	2873.200	12.1673	2823.600	Bc12	
116	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2221.7610	2221.760963885	2236.542328600	27.600	2845.600	14.7814	2818.000	Bc13	
117	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2238.3009	2238.300883245	2250.040423710	33.100	2889.700	11.7395	2856.600	Bc12	
118	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2250.3445	2250.344546271	2261.418687682	66.200	2823.500	11.0741	2757.300	Bc12	
119	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2262.7495	2262.749485791	2275.011839800	60.700	2784.900	12.2624	2724.200	Bc12	
120	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2276.9018	2276.901787821	2288.403685767	82.700	2862.100	11.5019	2779.400	Bc12	
121	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2291.0457	2291.045658518	2304.828924651	44.100	2867.600	13.7833	2823.500	Bc17	
122	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2305.8746	2305.874551737	2314.096982913	55.100	2845.600	8.2224	2790.500	Bc14	
123	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2314.7149	2314.714853464	2321.749072042	38.600	2884.200	7.0342	2845.600	Gd11	
124	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2322.2176	2322.217567250	2334.242278739	11.000	2862.100	12.0247	2851.100	Gf1211	
125	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2334.6503	2334.650337187	2341.827141277	93.700	2867.600	7.1768	2773.900	Gd12	
126	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2342.4925	2342.492540331	2357.701661582	82.700	2889.700	15.2091	2807.000	Gd15	
127	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2360.1015	2360.101515064	2371.365770491	77.200	2856.600	11.2643	2779.400	Bh12	
128	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2372.3118	2372.311789025	2387.283267756	11.000	2878.700	14.9715	2867.700	Bc13	
129	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2388.2814	2388.281366338	2402.207217983	33.100	2873.200	13.9259	2840.100	Bc13	
130	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2402.6825	2402.682503022	2418.271852304	38.600	2884.200	15.5893	2845.600	Gh35	
131	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2418.8894	2418.889424200	2432.672690333	60.700	2906.200	13.7833	2845.500	Gh26	
132	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2433.8722	2433.872216360	2447.037611943	66.200	2862.100	13.1654	2795.900	Bb16	
133	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2448.4159	2448.415938556	2461.296163115	38.600	2862.100	12.8802	2823.500	Bb16	
134	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2463.1319	2463.131867596	2473.968366487	38.600	2873.200	10.8365	2834.600	Bb15	
135	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2474.8907	2474.890658254	2482.590275887	77.200	2889.700	7.6996	2812.500	Gg2	
136	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2484.7291	2484.729058563	2499.130195247	55.100	2895.200	14.4011	2840.100	Bh13	
137	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2500.5085	2500.508521861	2515.860228623	38.600	2878.700	15.3517	2840.100	Bh14	
138	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2517.4778	2517.477764462	2533.827569807	66.200	2840.100	16.3498	2773.900	Bi141	
139	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2534.9683	2534.968253901	2549.987261135	38.600	2889.700	15.0190	2851.100	Bi133	
140	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2551.1279	2551.127945229	2567.240108054	16.500	2878.700	16.1122	2862.200	Bi125	
141	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2568.2916	2568.291629531	2581.266911097	33.100	2884.200	12.9753	2851.100	Bi114	
142	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2583.0255	2583.025465742	2595.335348254	60.700	2867.600	12.3099	2806.900	Bh13	
143	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2597.6809	2597.680883402	2610.988864496	16.500	2867.600	13.3080	2851.100	Bh13	
144	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2612.7949	2612.794947644	2627.053498817	11.000	2862.100	14.2586	2851.100	Bh14	
145	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2628.0516	2628.051597399	2642.880490618	27.600	2917.300	14.8289	2889.700	Bh14	
146	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2644.1050	2644.105039585	2658.886404300	22.100	2906.200	14.7814	2884.100	Bi132	
147	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2659.6896	2659.689613462	2672.664895029	49.600	2895.200	12.9753	2845.600	Bi131	
148	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2673.5679	2673.567936603	2687.303674233	22.100	2873.200	13.7357	2851.100	Bc13	
149	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2689.0433	2689.043323141	2703.206817306	33.100	2856.600	14.1635	2823.500	Bj122	
150	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2704.0623	2704.062330376	2716.134570369	66.200	2867.600	12.0722	2801.400	Gh23	
151	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2717.1802	2717.180197455	2729.157380439	38.600	2911.800	11.9772	2873.200	Gh12	
152	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2730.5357	2730.535707053	2741.039506416	0.000	2900.700	10.5038	2900.700	Gh23	
153	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2742.6482	2742.648237998	2754.340249959	0.000	2900.700	11.6920	2900.700	Gh22	
154	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2757.4771	2757.477131217	2768.361158612	0.000	2884.200	10.8840	2884.200	Gh22	
155	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2770.9423	2770.942322026	2782.016463437	71.700	2823.500	11.0741	2751.800	Gg3	
156	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2783.5849	2783.584904066	2792.710376816	99.300	2818.000	9.1255	2718.700	Gf116	
157	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2794.4689	2794.468931461	2799.792123898	82.700	2845.600	5.3232	2762.900	Gd11	
158	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2800.5051	2800.505051457	2807.159042004	49.600	2801.500	6.6540	2751.900	Gd13	
159	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2807.7680	2807.767958882	2814.754648956	16.500	2812.500	6.9867	2796.000	Gd13	
160	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2815.8953	2815.895333050	2824.402935250	55.100	2773.900	8.5076	2718.800	Gd13	
161	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2825.0208	2825.020805800	2834.859206109	71.700	2773.900	9.8384	2702.200	Gd14	
162	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2835.9606	2835.960643617	2843.945432274	104.800	2790.400	7.9848	2685.600	Gd12	
163	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2844.2306	2844.230603297	2859.154553524	60.700	2773.900	14.9240	2713.200	Gd15	
164	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2861.0401	2861.040099416	2875.156065077	38.600	2790.400	14.1160	2751.800	Bh13	
165	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2876.9146	2876.914619722	2888.511574675	11.000	2779.400	11.5970	2768.400	Bh12	
166	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2890.5161	2890.516053583	2905.725174833	33.100	2834.600	15.2091	2801.500	Bh14	
167	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2907.7689	2907.768900501	2924.784104900	27.600	2867.600	17.0152	2840.000	Bi141	
168	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2926.1771	2926.177130162	2939.675225272	16.500	2895.200	13.4981	2878.700	Bi114	
169	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2940.8634	2940.863437870	2953.743662429	33.100	2878.700	12.8802	2845.600	Bb15	
170	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2954.5881	2954.588058159	2967.040526183	38.600	2856.600	12.4525	2818.000	Bb15	
171	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2968.1213	2968.121267388	2979.528108325	0.000	2840.100	11.4068	2840.100	Bc12	
172	Spectrogram 1	1	Kommetjie Song example 1 21-06-2018.wav	2981.1441	2981.144077458	2993.929245010	27.600	2895.200	12.7852	2867.600	Bc12	
